,ZIPCODE,CTW_<25_Min,CTW_25-45_Min,CTW_>45_Min,pop15_marital_status,pop25_att_Bachelors,2021_Median_Home_Value,2021_Income,final_score_scale,0_percent,1_percent,2_percent
108,11220,0.22,0.25,0.51,0.54,0.15,0.496726752,0.266548667,0.42377179,0.46779661,0.46779661,0.06440678
109,11221,0.15,0.33,0.52,0.29,0.23,0.518286741,0.287853561,0.591573722,0.971294363,0.028705637,0
110,11222,0.18,0.45,0.37,0.38,0.4,0.641105679,0.484337578,0.519748849,0.801724138,0.181034483,0.017241379
111,11223,0.21,0.23,0.57,0.56,0.22,0.44039578,0.287393563,0.620938705,0.557251908,0.396946565,0.045801527
112,11224,0.22,0.22,0.56,0.43,0.22,0.246203877,0.187344063,0.76408486,0.817447496,0.177705977,0.004846527
113,11225,0.15,0.34,0.49,0.34,0.26,0.533640233,0.314748426,0.741293776,0.652912621,0.347087379,0
114,11226,0.15,0.31,0.54,0.36,0.21,0.371679314,0.297283514,0.623435769,0.017298261,0.97521177,0.007489969
115,11228,0.27,0.23,0.5,0.58,0.24,0.470228265,0.396653017,0.660560363,0.642857143,0.333333333,0.023809524
116,11229,0.21,0.23,0.57,0.55,0.24,0.356312322,0.340938295,0.83391674,0.696969697,0.296969697,0.006060606
117,11230,0.28,0.26,0.44,0.55,0.25,0.461262269,0.279433603,0.956180627,0.692982456,0.114035088,0.192982456
118,11231,0.21,0.44,0.35,0.5,0.33,0.823617588,0.63394183,0.496467513,0.699050086,0.300518135,0.000431779
119,11232,0.2,0.32,0.47,0.44,0.21,0.442555779,0.31594342,0.539067379,0.434285714,0.300952381,0.264761905
120,11233,0.17,0.34,0.49,0.28,0.19,0.455377772,0.226528867,1,0.878881988,0.121118012,0
121,11234,0.21,0.23,0.57,0.51,0.23,0.32072334,0.459752701,0.667853333,0.864864865,0.099099099,0.036036036
122,11235,0.25,0.23,0.53,0.55,0.3,0.362105319,0.301118494,0.470072472,0.73015873,0.26984127,0
123,11236,0.16,0.26,0.58,0.38,0.2,0.303946348,0.383898081,0.487909387,0.768211921,0.231788079,0
124,11237,0.18,0.38,0.44,0.31,0.26,0.389325305,0.291128544,0.665837369,0.396610169,0.552542373,0.050847458
125,11238,0.19,0.42,0.4,0.39,0.36,0.605198697,0.510117449,0.555510527,0.71888412,0.28111588,0
126,11239,0.18,0.15,0.67,0.32,0.16,0.273856863,0.184249079,0.25621006,0.785123967,0.181818182,0.033057851
